(79, 155) 80 68 54
(108, 156) 111 88 57
(93, 147) 56 52 53
(94, 161) 108 80 58
(136, 153) 73 60 43
(163, 151) 113 95 75
(148, 145) 40 41 43
(148, 158) 116 90 65
(69, 140) 93 77 61
(89, 133) 81 69 57
(109, 139) 92 69 51
(133, 137) 64 51 42
(153, 129) 40 30 21
(171, 133) 29 30 34
(115, 189) 113 91 68
(130, 188) 83 62 45
(102, 215) 124 98 75
(146, 211) 106 86 62
(125, 204) 80 49 46
(125, 211) 120 75 70
(125, 212) 119 70 66
(125, 219) 96 75 54
(66, 210) 92 76 60
(88, 238) 86 73 56
(128, 255) 66 54 42
(166, 236) 26 30 33
(187, 197) 36 37 39
(57, 155) 32 34 31
(52, 177) 48 41 31
(58, 202) 30 30 28
(186, 154) 25 30 36
(192, 173) 31 31 31
(188, 196) 33 34 36
(64, 129) 85 69 36
(77, 99) 75 56 41
(118, 91) 89 73 50
(142, 106) 75 56 41
(149, 121) 63 50 41
(39, 130) 158 170 170
(56, 89) 44 48 51
(77, 57) 188 209 228
(112, 40) 186 213 232
(145, 52) 207 234 245
(176, 75) 220 255 255
(198, 111) 216 252 252
