(73, 192) 60 47 41
(110, 190) 64 56 45
(91, 181) 38 39 41
(91, 194) 83 64 50
(142, 190) 80 63 53
(177, 188) 84 57 46
(159, 178) 21 25 26
(160, 193) 91 68 52
(69, 178) 70 62 51
(85, 168) 66 57 50
(108, 167) 78 62 49
(140, 167) 88 72 59
(166, 163) 62 57 53
(185, 172) 84 66 52
(116, 228) 61 50 44
(142, 228) 97 69 55
(93, 252) 43 42 40
(166, 251) 89 67 53
(126, 242) 74 43 40
(127, 250) 114 86 64
(129, 265) 90 51 46
(128, 275) 94 65 51
(54, 251) 75 68 62
(79, 295) 52 51 46
(129, 310) 72 54 42
(179, 288) 37 33 30
(199, 255) 34 48 51
(39, 194) 42 49 55
(35, 223) 194 197 204
(49, 251) 49 48 46
(214, 193) 73 64 59
(213, 223) 232 250 255
(202, 250) 78 77 72
(67, 161) 74 64 54
(87, 125) 89 76 60
(131, 116) 86 64 50
(164, 119) 57 52 46
(180, 155) 80 62 50
(31, 169) 83 106 112
(40, 127) 56 65 64
(71, 86) 90 96 96
(129, 68) 76 81 84
(177, 84) 124 125 127
(202, 108) 244 255 255
(219, 170) 160 181 186
