(90, 172) 51 44 38
(119, 173) 61 52 47
(104, 169) 38 37 32
(105, 178) 96 74 60
(155, 174) 76 52 40
(185, 176) 77 53 41
(169, 170) 54 50 39
(169, 178) 82 76 60
(79, 160) 72 60 46
(99, 149) 83 69 56
(120, 160) 91 70 53
(158, 157) 96 68 57
(181, 155) 93 74 59
(198, 162) 117 91 68
(127, 216) 62 43 37
(145, 213) 82 53 35
(106, 247) 58 40 30
(165, 246) 85 53 40
(135, 236) 127 88 71
(135, 243) 100 59 53
(135, 245) 98 57 51
(136, 253) 114 67 57
(64, 234) 144 134 122
(72, 261) 93 83 71
(130, 294) 91 72 58
(196, 261) 112 95 77
(199, 237) 109 91 67
(49, 174) 75 71 59
(42, 204) 82 63 56
(58, 228) 115 87 73
(220, 175) 97 90 80
(224, 207) 142 93 78
(207, 232) 138 103 75
(59, 160) 54 51 44
(69, 106) 53 52 47
(129, 81) 61 55 43
(197, 95) 52 48 37
(205, 163) 112 90 69
(47, 160) 94 95 90
(46, 113) 126 128 115
(81, 69) 244 247 238
(134, 51) 100 102 91
(202, 80) 165 173 162
(232, 138) 77 81 67
(222, 169) 78 79 73

