(96, 146) 68 44 42
(120, 147) 82 57 50
(109, 142) 37 31 33
(109, 150) 80 56 54
(158, 148) 69 51 49
(187, 151) 72 61 57
(171, 144) 40 36 33
(171, 152) 66 48 46
(86, 133) 97 67 59
(103, 126) 75 55 46
(123, 132) 79 52 45
(156, 134) 53 42 40
(181, 129) 63 54 47
(195, 134) 74 59 56
(132, 178) 103 67 67
(149, 178) 66 47 49
(115, 205) 61 38 32
(163, 205) 75 62 56
(140, 197) 87 45 49
(139, 203) 72 42 42
(139, 203) 72 42 42
(139, 210) 98 62 62
(75, 196) 71 50 45
(86, 223) 86 65 62
(138, 247) 63 54 47
(184, 225) 78 73 69
(202, 199) 136 127 120
(65, 148) 82 65 58
(63, 171) 116 79 70
(68, 193) 41 23 21
(214, 154) 73 63 62
(214, 177) 105 88 80
(206, 198) 97 78 72
(72, 133) 58 47 45
(83, 86) 56 41 34
(136, 68) 68 54 43
(195, 91) 63 50 42
(209, 141) 51 47 48
(58, 131) 38 33 27
(61, 90) 101 91 81
(90, 51) 82 80 68
(136, 41) 172 172 160
(191, 57) 79 76 71
(215, 95) 68 65 48
(224, 143) 226 226 218

