87, 160) 53 48 44
(115, 159) 51 40 36
(103, 156) 40 39 37
(104, 164) 81 71 62
(153, 161) 72 54 44
(182, 163) 61 44 34
(168, 157) 37 34 29
(165, 167) 88 70 60
(80, 148) 69 59 50
(96, 137) 68 59 52
(123, 145) 100 77 61
(151, 145) 103 77 62
(173, 138) 77 60 50
(191, 148) 76 60 45
(127, 200) 40 35 32
(146, 201) 67 44 28
(107, 236) 77 60 53
(162, 231) 95 73 59
(133, 222) 115 75 65
(134, 230) 89 55 53
(134, 232) 80 46 44
(135, 242) 106 72 62
(61, 224) 252 251 249
(70, 253) 90 83 75
(137, 288) 73 65 54
(188, 253) 95 84 66
(198, 227) 253 252 248
(43, 163) 90 85 79
(36, 195) 105 90 85
(55, 220) 76 63 57
(212, 164) 81 72 63
(218, 198) 98 84 75
(201, 222) 134 108 93
(56, 148) 47 47 47
(68, 88) 43 44 39
(133, 64) 48 47 42
(184, 82) 70 58 46
(204, 140) 69 60 53
(37, 156) 254 255 255
(37, 102) 250 255 251
(69, 61) 247 247 245
(128, 39) 79 82 75
(187, 62) 88 100 100
(216, 99) 80 87 71
(210, 159) 45 49 48

