(84, 145) 88 75 69
(107, 148) 65 46 39
(96, 143) 45 33 35
(98, 153) 69 48 47
(144, 146) 55 41 41
(165, 147) 49 44 41
(156, 142) 45 37 34
(157, 151) 62 52 53
(75, 133) 87 62 42
(91, 130) 59 46 40
(112, 135) 103 80 72
(142, 134) 50 46 37
(162, 128) 68 59 50
(177, 134) 67 56 50
(116, 179) 70 40 40
(138, 175) 43 31 33
(106, 206) 77 54 48
(153, 206) 74 63 61
(128, 198) 86 50 52
(127, 204) 78 42 44
(127, 205) 101 57 58
(127, 214) 63 49 49
(63, 202) 77 68 61
(77, 232) 76 57 53
(127, 249) 58 48 47
(179, 224) 223 214 205
(184, 197) 81 72 67
(43, 150) 58 51 43
(46, 183) 73 52 49
(55, 199) 66 38 37
(198, 155) 101 93 72
(198, 177) 115 97 93
(191, 197) 94 82 70
(55, 145) 53 47 47
(75, 87) 105 77 65
(122, 70) 74 57 47
(171, 82) 43 36 30
(191, 129) 65 63 66
(31, 148) 162 157 137
(39, 101) 202 204 180
(66, 60) 153 152 134
(119, 41) 33 34 26
(168, 58) 46 45 40
(196, 101) 81 72 63
(209, 145) 76 78 64

