(111, 140) 60 50 41
(132, 142) 62 43 39
(122, 138) 22 22 20
(122, 146) 70 46 42
(173, 141) 38 29 30
(196, 142) 51 45 45
(185, 139) 36 32 31
(186, 149) 60 47 41
(99, 125) 73 50 36
(115, 124) 67 46 41
(139, 131) 66 46 39
(167, 128) 95 77 75
(183, 123) 57 46 40
(204, 130) 58 49 40
(146, 174) 88 63 59
(160, 171) 41 32 33
(129, 203) 63 42 37
(176, 203) 70 56 53
(151, 194) 84 48 48
(151, 199) 69 36 43
(151, 201) 103 57 57
(152, 208) 86 60 63
(85, 191) 252 252 242
(105, 223) 80 59 54
(146, 240) 70 57 51
(198, 220) 79 74 70
(216, 188) 100 87 78
(75, 141) 55 44 38
(71, 168) 79 70 65
(83, 182) 97 64 57
(232, 146) 60 60 62
(226, 172) 97 75 64
(216, 194) 255 251 241
(84, 142) 59 40 36
(95, 89) 63 50 41
(147, 59) 69 56 47
(206, 87) 79 60 54
(216, 135) 57 52 48
(55, 134) 255 255 251
(69, 92) 202 205 176
(98, 55) 49 45 33
(151, 35) 36 35 30
(203, 48) 80 76 75
(228, 84) 255 255 246
(240, 131) 193 189 180

